Disease,Gene,Inheritance,OMIM,T cells,B cells,Ig,Associated features,,
IRE1α deficiency ,ERN1,AD ,NA ,Normal ,Normal ,Defect of IRE1α over XBP1 splicing resulting in breakdown of B-cell tolerance ,"Familial autoimmunity including SLE, Sjögren’s syndrome idiopathic thrombocytopenic purpura, Hashimoto thyroiditis, and limited cutaneous sclerosis. Positive ANA, DNA SSA/SSB autoantibodies ",,
GIMAP6 deficiency ,GIMAP6,AR ,616960 ,"Transient lymphopenia, decreased naïve T cells with high Tem and TEMRA CD4+cells. Reduced T-cell proliferation and activation and defective autophagy ","Normal B cells. Elevated IgM and β2 microglobulin, reduced IgA and IgG levels ",Reduced NK cell cytotoxicity ,"Lymphadenopathy and splenomegaly. Vasculitis of CNS, skin, and lungs with pulmonary hypertension. Recurrent infections (pneumonia) with bronchiectasis. Antiphospholipid and anticardiolipin autoantibodies. Autoimmune hemolytic anemia ",,
PTPN2 ,PTPN2,AD ,NA ,Normal numbers may have mild CD4 T-cell lymphopenia. Hyperproliferative T cells. May have increased Tregs ,Normal numbers with increased self-reactive B cells. Normal immunoglobulin levels ,Loss of negative regulation in cytokine pathway resulting in ↑ STAT phosphorylation and ↑ inflammatory cytokines ,"Pediatric-onset systemic lupus or Evans syndrome with incomplete penetrance. Positive autoantibodies (ANA, β2GP1, anti-C1q, ANCA, anti-HLA I). Slightly elevated type I IFN signature. Some patients may have hepatitis and cholangitis. Some may present with recurrent infections and lymphoproliferation ",,
IL-10 deficiency ,IL10,AR ,124092 ,Normal ,Normal ,No functional IL-10 secretion ,"IBD, folliculitis, recurrent respiratory diseases, arthritis ",,
IL-10R deficiency ,IL10RA,AR ,146933 ,Normal ,Normal ,Leukocytes unresponsive to IL-10 ,"IBD, folliculitis, recurrent respiratory diseases, arthritis, lymphoma ",,
,IL10RB,AR ,123889 ,Normal ,Normal ,"Leukocytes unresponsive to IL-10, and IL-22, IL-26, IL-28A, IL-28B, and IL-29 ",,,
NFAT5 haploinsufficiency ,NFAT5,AD ,604708 ,Normal ,Normal ,Decreased memory B cells and plasmablasts ,"IBD, recurrent sinopulmonary infections ",,
TGFB1 deficiency ,TGFB1,AR ,618213 ,Normal ,Normal ,Decreased T-cell proliferation in response to anti-CD3 ,"IBD, immunodeficiency, recurrent viral infections, microcephaly, and encephalopathy ",,
RIPK1 ,RIPK1,AR ,618108 ,Reduced ,Normal/reduced ,"Reduced activation of MAPK, NF-κB pathways ","Recurrent infections, early-onset IBD, progressive polyarthritis ",,
ELF4 deficiency ,ELF4,XL ,301074 ,Normal ,Normal ,Hyperinflammatory macrophages ,"Early-onset IBD/mucosal autoinflammation, fevers, ulcers, responded to IL-1, TNF, or IL-12p40 blockade ",,
DOCK11 deficiency ,DOCK11,XL ,301109 ,Normal ,Decreased switched memory B cells and MZ-like B cells ,"Abnormal actin cytoskeleton remodeling due to impaired CDC42 activity and STAT5 activation, Treg defect ","Severe early-onset autoimmunity affecting various organs, GI (IBD), skin, lung, joints, etc. Some with SLE or JIA diagnosis. Susceptibility to infections with hyperinflammatory response. Normocytic anemia, variable thrombocytopenia ",,
iRHOM deficiency ,RHBDF2,AR ,,Normal ,Normal ,Failure to generate mature and active ADAM17 preventing TNF cleavage. Impaired TNF secretion in T cells.,"Recurrent sinopulmonary infections with pneumatoceles, eczema, hepatosplenomegaly, skin abscesses, high IgE. Hemorrhagic colitis ",,
ALPS-FAS ,FAS,AD ,134637 ,Increased TCR α/β+,"Normal, low memory B cells ",Apoptosis defect FAS-mediated ,"Splenomegaly, adenopathies, autoimmune cytopenias, increased lymphoma risk, IgG and IgA normal or increased, elevated serum FasL, IL-10, vitamin B12 ",,
ALPS-FASLG ,FASLG,AD/AR ,134638 ,Increased DN T cells ,Normal ,Apoptosis defect FASL-mediated ,"Splenomegaly, adenopathies, autoimmune cytopenias, SLE, soluble FasL is not elevated ",,
ALPS-Caspase 10 ,CASP10,AD ,601762 ,Increased DN T cells ,Normal ,Defective lymphocyte apoptosis ,"Adenopathies, splenomegaly, autoimmunity ",,
ALPS-Caspase 8 ,CASP8,AR ,601763 ,Slightly increased DN T cells ,Normal ,Defective lymphocyte apoptosis and activation ,"Adenopathies, splenomegaly, bacterial and viral infections, hypogammaglobulinemia ",,
FADD deficiency ,FADD,AR ,602457 ,Increased DN T cells ,Normal ,Defective lymphocyte apoptosis ,"Functional hyposplenism, bacterial and viral infections, recurrent episodes of encephalopathy and liver dysfunction ",,
SAP deficiency (XLP1) ,SH2D1A,XL ,300490 ,Normal or increased activated T cells ,Reduced memory B cells ,Reduced NK cell and CTL cytotoxic activity ,"Clinical and immunologic features triggered by EBV infection: HLH,",,
XIAP deficiency (XLP2) ,XIAP,XL ,300079 ,Normal or increased activated T cells; low/normal iNK T cells ,Normal or reduced memory B cells ,Increased T-cell susceptibility to apoptosis to CD95 and enhanced activation-induced cell death (AICD) ,"EBV infection, splenomegaly, lymphoproliferation",,
CD27 deficiency ,CD27,AR ,615122 ,Normal ,No memory B cells ,Hypogammaglobulinemia; poor Ab responses to some vaccines/infections ,"Features triggered by EBV infection, HLH, aplastic anemia, low iNKT cells, B lymphoma ",,
CD70 deficiency ,CD70,AR ,602840 ,"Normal number, low Treg, poor activation and function ",Decreased memory B cells ,Hypogammaglobulinemia; poor Ab responses to some vaccines/infections ,"EBV susceptibility, Hodgkin lymphoma; autoimmunity in some patients ",,
CTPS1 deficiency ,CTPS1,AR ,615897 ,"Normal to low, but reduced activation, proliferation ",Decreased memory B cells ,Normal/high IgG poor proliferation to antigen ,"Recurrent/chronic bacterial and viral infections (EBV, VZV), EBV lymphoproliferation, B-cell non-Hodgkin lymphoma ",,
CD137 deficiency (41BB) ,TNFRSF9,AR ,602250 ,Normal ,Normal ,"Low IgG, low IgA, poor responses to T cell–dependent and T cell–independent antigens, decreased T-cell proliferation, IFN-γ secretion, cytotoxicity ","EBV lymphoproliferation, B-cell lymphoma, chronic active EBV infection ",,
TNFSF9 (CD137L) deficiency (41BBL) ,TNFSF9,AR ,620282 ,"Normal counts, ↓ EBV-specific T-cell effector responses ",Normal ,"CD137L was not upregulated on activated monocytes and DCs, EBV-infected B cells. B cells failed to trigger the expansion of EBV-specific","Disseminated EBV in B and CD8+T cells, smooth muscle tumors ",,
RASGRP1 deficiency ,RASGRP1,AR ,603962 ,"Poor activation, proliferation, motility. Reduced naïve T cells ","Poor activation, proliferation, motility ","Normal IgM, IgG, increased IgA ","Recurrent pneumonia, herpesvirus infections, EBV-associated lymphoma",,
RLTPR deficiency ,CARMIL2,AR ,610859 ,"Normal number, high CD4, increased naïve CD4+ and CD8+, low Treg and MAIT, poor CD28-induced function ","Normal B-cell numbers, reduced memory B cells ","Normal to low, poor T-dependent antibody response ","Recurrent bacterial, fungal, and mycobacterial infections, viral warts, molluscum and EBV lymphoproliferative and other malignancy, atopy ",,
X-linked magnesium EBV and neoplasia (XMEN) ,MAGT1,XL ,300853 ,"Low CD4 Low recent thymic emigrant cells, inverted CD4/CD8 ratio, reduced MAIT cells, poor proliferation to CD3 ",Normal but decreased memory B cells ,Progressive hypogammaglobulinemia,"EBV infection, lymphoma, viral infections, respiratory and GI infections",,
PRKCD deficiency ,PRKCD,AR ,615559 ,Normal ,"Low memory B cells, high CD5 B cells ",Apoptotic defect in B cells ,"Recurrent infections, EBV chronic infection, lymphoproliferation, SLE-like autoimmunity (nephrotic and antiphospholipid syndromes), low IgG ",,
TET2 deficiency ,TET2,AR ,619126 ,Increased CD4−CD8− T cells ,Low memory B cells ,"DNA hypermethylation, defective FAS-mediated apoptosis ","ALPS-like, recurrent viral infections, EBV viremia, lymphadenopathy, hepatosplenomegaly, autoimmunity, B lymphoma, FTT, developmental delay ",,
IL-27RA deficiency ,IL27RA,AR ,,Normal ,,,,,
Elastase deficiency (severe congenital neutropenia [SCN] 1) ,ELANE,AD ,130130 ,N ,Myeloid differentiation ,Susceptibility to MDS/leukemia,,,
GFI 1 deficiency (SCN2) ,GFI1,AD ,600871 ,N ,Myeloid differentiation ,B/T lymphopenia ,,,
HAX1 deficiency (Kostmann disease) (SCN3) ,HAX1,AR ,605998 ,N ,Myeloid differentiation ,"Cognitive and neurological defects in patients with defects in both HAX1 isoforms, susceptibility to MDS/leukemia ",,,
G6PC3 deficiency (SCN4) ,G6PC3,AR ,611045 ,N ,"Myeloid differentiation, chemotaxis","Structural heart defects, urogenital abnormalities, inner ear deafness, and venous angiectasia of trunks and limbs ",,,
VPS45 deficiency (SCN5) ,VPS45,AR ,610035 ,N ,"Myeloid differentiation, migration ","Extramedullary hematopoiesis, bone marrow fibrosis, nephromegaly ",,,
Glycogen storage disease type 1b ,SLC37A4,AR ,602671 ,N + M ,"Myeloid differentiation, chemotaxis,","Fasting hypoglycemia, lactic acidosis, hyperlipidemia, hepatomegaly ",,,
X-linked neutropenia/myelodysplasia ,WAS,XL GOF ,300299 ,N ,"Differentiation, mitosis. Results from GOF mutations in GTPase binding domain of WASP ","Neutropenia, myeloid maturation arrest, monocytopenia, variable lymphoid anomalies ",,,
P14/LAMTOR2 deficiency ,LAMTOR2,AR ,610389 ,N + M ,Endosomal biogenesis ,Neutropenia,,,
Barth syndrome (3-methylglutaconic aciduria type II) ,TAZ,XL ,300394 ,N+L,Mitochondrial function ,"Cardiomyopathy, myopathy, growth retardation, neutropenia ",,,
Cohen syndrome ,VPS13B,AR ,607817 ,N ,Myeloid differentiation ,"Dysmorphism, mental retardation, obesity, deafness, neutropenia ",,,
Clericuzio syndrome (poikiloderma with neutropenia) ,USB1,AR ,613276 ,N ,Myeloid differentiation ,"Retinopathy, developmental delay, facial dysmorphisms, poikiloderma ",,,
JAGN1 deficiency ,JAGN1,AR ,616012 ,N ,Myeloid differentiation ,"Myeloid maturation arrest, osteopenia ",,,
3-Methylglutaconic aciduria ,CLPB,AD/AR ,616254 ,N ,Myeloid differentiation,"Neurocognitive developmental aberrations, microcephaly, hypoglycemia, hypotonia, ataxia, seizures, cataracts, IUGR ",,,
G-CSF receptor deficiency ,CSF3R,AR ,138971 ,N ,Stress granulopoiesis disturbed ,,,,
SMARCD2 deficiency ,SMARCD2,AR ,601736 ,N ,"Chromatin remodeling, myeloid differentiation, and neutrophil functional defect ","Neutropenia, developmental aberrations, bones, hematopoietic stem cells, myelodysplasia ",,,
CEBPE deficiency ,CEBPE,AR ,245480 ,N ,Terminal maturation and global dysfunction ,"Neutropenia, neutrophils with bilobed nuclei, poor chemotaxis ",,,
Shwachman–Diamond syndrome ,SBDS,AR ,607444 ,N ,"Neutrophil maturation, chemotaxis, ribosomal biogenesis ","Pancytopenia, exocrine pancreatic insufficiency, chondrodysplasia ",,,
,DNAJC21,AR ,617052 ,N + HSC ,"Pancytopenia, exocrine pancreatic insufficiency ",,,,
,EFL1,AR ,617941 ,N + HSC ,,,,,
HYOU1 deficiency ,HYOU1,AR ,601746 ,N ,Unfolded protein response ,"Hypoglycemia, inflammatory complications ",,,
SRP54 deficiency ,SRP54,AD ,604857 ,N ,"Protein translocation to ER, myeloid differentiation, and neutrophil functional defect ","Neutropenia, exocrine pancreatic insufficiency ",,,
CXCR2 deficiency ,CXCR2,AR ,619407 ,N ,"Reduced expression of CXCR2 on patient cells, impaired responses to CXCL8 ","Profound neutropenia, myelokathexis, recurrent gingivitis, oral ulcers, hypergammaglobulinemia ",,,
DBF4 deficiency ,DBF4,AR ,NA ,N ,Disturbed cell cycle ,Neurocognitive developmental aberrations ,,,
SRP19/SRPRA deficiency ,SRP19,AR ,NA ,N ,Alterations in neutrophil granulocyte development with reduction in electron-dense granules ,"Exocrine pancreatic insufficiency, growth insufficiency, recurrent pulmonary infections with bronchiectasis, congenital neutropenia ",,,
,SRPRA,,,,,,,,
Leukocyte adhesion deficiency type 1 (LAD1) ,ITGB2,AR ,600065 ,N + M +,"Adherence, chemotaxis, endocytosis, T/NK cytotoxicity ","Delayed cord separation, skin ulcers, periodontitis, leukocytosis ",,,
Leukocyte adhesion deficiency type 2 (LAD2) ,SLC35C1,AR ,605881 ,N + M ,"Rolling, chemotaxis ","Mild LAD type 1 features with hh-blood group, growth retardation, developmental delay ",,,
Leukocyte adhesion deficiency type 3 (LAD3) ,FERMT3,AR ,607901 ,N + M +,"Adherence, chemotaxis ",LAD type 1 plus bleeding tendency ,,,
Rac2 deficiency ,RAC2,AD LOF ,608203 ,N ,"Adherence, chemotaxis","Poor wound healing, leukocytosis ",,,
β-Actin deficiency ,ACTB,AD ,102630 ,N + M ,Motility ,"Mental retardation, short stature ",,,
Localized juvenile periodontitis ,FPR1,AR ,136537 ,N ,Formyl peptide–induced chemotaxis ,Periodontitis only ,,,
Papillon–Lefèvre syndrome ,CTSC,AR ,602365 ,N + M ,Chemotaxis ,"Periodontitis, palmoplantar hyperkeratosis in some patients ",,,
WDR1 deficiency ,WDR1,AR ,604734 ,N ,"Spreading, survival, chemotaxis ","Mild neutropenia, poor wound healing, severe stomatitis, neutrophil nucleus herniate ",,,
Cystic fibrosis ,CFTR,AR ,602421 ,M only ,Chemotaxis ,"Respiratory infections, pancreatic insufficiency, elevated sweat chloride ",,,
Neutropenia with combined immune deficiency due to MKL1 deficiency ,MAP3K9/MKL1,AR ,606078 ,N + M +L + NK ,Impaired expression of cytoskeletal genes ,Mild thrombocytopenia ,,,
CCR2 ,CCR2,AR ,219600 ,M ,Impaired CCL2-dependent monocyte migration to the lungs and infected tissues ,"Pulmonary alveolar proteinosis (PAP), progressive polycystic lung disease, and recurrent infections, including BCG disease ",,,
"X-linked chronic granulomatous disease (CGD), gp91phox ",CYBB,XL ,306400 ,N + M ,Killing (faulty O2− production) ,"Infections, autoinflammatory phenotype, IBD",,,
AR CGD ,CYBA,AR ,608508 ,"Infections, autoinflammatory phenotype ",,,,,
AR CGD ,CYBC1,AR ,618334 ,,,,,,
AR CGD ,NCF1,AR ,608512 ,,,,,,
AR CGD ,NCF2,AR ,608515 ,,,,,,
AR CGD ,NCF4,AR ,613960 ,,,,,,
G6PD deficiency class I ,G6PD,XL ,305900 ,N ,Reduced O2− production ,Infections ,,,
Pulmonary alveolar proteinosis ,CSF2RA,XL (biallelic mutations in pseudoautosomal gene) ,300770 ,Alveolar macrophages ,GM-CSF signaling ,Alveolar proteinosis ,,,
IL-12 and IL-23 receptor β1 chain deficiency ,IL12RB1,AR ,601604 ,L + NK+MAIT ,IFN-γ secretion ,Susceptibility to mycobacteria and Salmonella and CMC ,,,
IL-12p40 (IL-12 and IL-23) deficiency ,IL12B,AR ,161561 ,M ,,,,,
IL-12Rβ2 deficiency ,IL12RB2,AR ,601642 ,L + NK+MAIT ,,,,,
IL-23R deficiency ,IL23R,AR ,607562 ,L +NK+MAIT ,,,,,
IFN-γ receptor deficiency ,IFNGR1,AR ,209950 ,M + L ,IFN-γ binding and signaling ,,,,
,IFNGR2,AR ,147569 ,M + L ,IFN-γ signaling ,,,,
STAT1 deficiency ,STAT1,AD LOF ,614892 ,M + L ,,,,,
Macrophage gp91phox deficiency,CYBB,XL ,300645 ,Macrophage only ,Respiratory burst defect in monocytes (not in neutrophils) ,Isolated susceptibility to mycobacteria ,,,
IRF8 deficiency ,IRF8,AD ,614893 ,M + L ,Impaired development of cDCs and Th1* cells ,Susceptibility to mycobacteria ,,,
SPPL2a deficiency ,SPPL2A,AR ,608238 ,M + L ,Impaired development of cDCs and Th1* cells ,Susceptibility to mycobacteria and Salmonella ,,,
TYK2 deficiency ,TYK2,AR ,611521 ,M + L ,"Impaired cellular responses to IL-10, IL-12, IL-23, and type I IFNs ","Susceptibility to intracellular bacteria (mycobacteria, Salmonella) and viruses ",,,
ISG15 deficiency ,ISG15,AR ,147571 ,,IFN-γ production defect ,"Susceptibility to mycobacteria (BCG), brain calcification ",,,
RORγt deficiency ,RORC,AR ,602943 ,L + NK ,"Lack of functional RORγT protein, IFN-γ production defect, complete absence of IL-17A/F–producing T cells ",Susceptibility to mycobacteria and candida ,,,
JAK1 deficiency ,JAK1,AR LOF ,147795 ,N + L ,Reduced JAK1 activation to cytokines,"Susceptibility to mycobacteria and viruses, urothelial carcinoma ",,,
T-bet deficiency ,TBX21,AR ,619630 ,L ,"↓IFN-γ and TNF-α production by γδT cells, MAIT cells, iNKT cells, NK cells, and CD4+ T cells ",Susceptibility to mycobacteria ,,,
IFN-γ deficiency ,IFNG,AR ,618963 ,L ,No IFN-γ production by patient T and NK cells ,Susceptibility to mycobacteria ,,,
IRF1 deficiency ,IRF1,AR ,620668 ,"Lymphocytes, DCs, NK, ILCP, ILCP2 ","IRF1-dependent responses to IFN-γ are both quantitatively and qualitatively stronger than those to IFN-α/β. IRF1-deficient mononuclear phagocytes do not control mycobacteria and related pathogens normally when stimulated with IFN-γ, while IFN-α/β–dependent intrinsic immunity to viruses seems unaffected ","Early-onset severe forms of MSMD due to BCG,M. avium complex. No history of severe viral illnesses. Histoplasmosis in 2 patients ",,,
MCTS1 deficiency ,MCTS1,XLR ,301115 ,Lymphocytes ,"Impaired cellular responses to IL-23 and partially IL-12, impaired IL-23dep IFN-γ induction by MAIT and γδT cells ",Life-threatening early-onset BCG disease. Disease was multifocal or disseminated in several cases including osteomyelitis ,,,
EVER1 deficiency ,TMC6,AR ,605828 ,Keratinocytes ,"EVER1, EVER2, and CIB1 form a complex in keratinocytes ",HPV (group B1) infections and cancer of the skin (typical EV) ,,,
EVER2 deficiency ,TMC8,605829 ,,,,,,,
CIB1 deficiency ,CIB1,618267 ,,,,,,,
"WHIM (warts, hypogammaglobulinemia, infections, myelokathexis) syndrome ",CXCR4,AD GOF ,162643 ,Leukocytes ,Increased response of the CXCR4 chemokine receptor to its ligand CXCL12 (SDF-1) ,"Warts (HPV) infection, neutropenia, low B-cell number, hypogammaglobulinemia ",,,
STAT1 deficiency ,STAT1,AR LOF ,600555 ,Leukocytes and other cells ,"STAT1-dependent IFN-α/β, INF-γ, and IFN-λ responses ","Severe viral infections, mycobacterial infection ",,,
STAT2 deficiency ,STAT2,AR ,600556 ,Leukocytes and other cells ,"STAT2-dependent IFN-α/β, IFN-γ, and IFN-λ responses ","Severe viral infections (disseminated vaccine-strain measles), influenza, HSV, enterovirus; atypical Kawasaki disease, HLH ",,,
IRF9 deficiency ,IRF9,AR ,618648 ,Leukocytes and other cells ,IRF9- and ISGF3-dependent IFN-α/β and IFN-λ responses ,Severe influenza disease ,,,
IRF7 deficiency ,IRF7,AR ,605047 ,"Leukocytes, plasmacytoid DCs, nonhematopoietic cells ","IFN-α, IFN-β, and IFN-γ production and IFN-l production ",,,,
IFNAR1 deficiency ,IFNAR1,AR ,619935 ,Leukocytes and other cells ,IFNAR1-dependent responses to IFN-α/β ,Severe viral infections (dissemination of yellow fever vaccine and measles vaccine) ,,,
IFNAR2 deficiency ,IFNAR2,AR ,602376 ,Broadly expressed ,IFNAR2-dependent responses to IFN-α/β ,"Severe viral infections (disseminated vaccine-strain measles, HHV6) ",,,
CD16 deficiency ,FCGR3A,AR ,146740 ,NK cells ,Altered NK cell function ,"Severe herpes viral infections, particularly VZV,EBV, and HPV ",,,
MDA5 deficiency ,IFIH1,AR LOF ,606951 ,Broadly expressed ,Viral recognition and IFN induction ,Rhinovirus and other RNA viruses ,,,
NOS2 deficiency ,NOS2,AR ,NA ,Myeloid cells ,Mutant NOS2 failed to induce nitrous oxide ,"Severe (fatal) susceptibility to CMV-induced disease; pneumocystis pneumonia secondary to CMV; intact responses to infection with other herpesviruses (EBV, VZV, HSV) ",,,
ZNFX1 deficiency ,ZNFX1,AR ,619644 ,Broadly expressed ,↑ ISG in response to poly I/C ,"Severe infections by RNA/DNA viruses, mycobacteria; early-onset severe inflammation affecting liver, brain, kidneys, lungs; virally triggered inflammatory episodes, hepatosplenomegaly, lymphadenopathy ",,,
RNA polymerase III deficiency ,POLR3A,AD ,614258 ,Leukocytes and other cells ,Impaired viral recognition and IFN induction in response to VZV or poly I:C ,Severe VZV infection ,,,
,POLR3C,AD ,617454 ,,,,,,
,POLR3F,AD ,617455 ,,,,,,
MIS-C ,OAS1,AR ,,Monocytic phagocytes ,Excessive inflammatory cytokine production by monocytes ,Multisystemic inflammatory syndrome in children (MIS-C) after SARS-CoV-2 ,,,
,OAS2,AR ,,Monocytic phagocytes ,Excessive inflammatory cytokine production by monocytes ,MIS-C ,,,
,RNASEL,AR ,,Monocytic phagocytes ,Excessive inflammatory cytokine production by monocytes ,MIS-C ,,,
TLR3 deficiency ,TLR3,AD ,613002 ,CNS-resident cells and fibroblasts ,"TLR3-dependent IFN-α, IFN-β, and IFN-γ response ",Herpes simplex virus 1 encephalitis (incomplete clinical penetrance for all etiologies listed here); severe pulmonary influenza; VZV ,,,
UNC93B1 deficiency ,UNC93B1,AR ,608204 ,"UNC-93B–dependent IFN-α, IFN-β, and IFN-γ response ",Herpes simplex virus 1 encephalitis ,,,,
TRAF3 deficiency ,TRAF3,AD ,601896 ,"TRAF3-dependent IFN-α, IFN-β, and IFN-γ response ",,,,,
TRIF deficiency ,TICAM1,AD ,607601 ,"TRIF-dependent IFN-α, IFN-β, and IFN-γ response ",,,,,
TBK1 deficiency ,TBK1,AD ,604834 ,"TBK1-dependent IFN-α, IFN-β, and IFN-γ response ",,,,,
IRF3 deficiency ,IRF3,AD ,616532 ,"Low IFN-α/β, production in response to HSV1 and decreased IRF3 phosphorylation ",,,,,
DBR1 deficiency ,DBR1,AR ,607024 ,Impaired production of antiviral IFNs ,HSE of the brainstem. Other viral infections of the brainstem ,,,,
SNORA31 deficiency ,SNORA31,AD ,619396 ,Impaired production of antiviral IFNs ,Forebrain HSV1 encephalitis ,,,,
ATG4A deficiency ,ATG4,AD ,NA ,CNS-resident cells and fibroblasts ,Impaired HSV2-induced autophagy →increased viral replication and apoptosis of patient fibroblasts ,Mollaret’s meningitis (recurrent lymphocytic meningitis) due to HSV2 ,,,
MAP1LC3B2 deficiency ,MAP1LC3B2,,,,,,,,
RIPK3 deficiency ,RIPK3,AR ,NA ,Neurons ,"Impaired cellular apoptosis and necroptosis upon TLR3, TLR4, or TNFR1 stimulation and ZBP1/DAI-mediated necroptotic cell death after HSV-1 infection ","Herpes simplex encephalitis recurrent in one patient. Otherwise, healthy ",,,
GTF3A deficiency ,GTF3A,AR ,NA ,Fibroblasts ,↓ RNA5SP141 expression results in abrogated RIG-I activation upon HSV-1 infection ,"CVID phenotype, low switched memory B cells, absent IgM. Defect in pneumococcal antibody response. T cells, mostly memory effector phenotype, low TFH and TH17 cells ",,,
IKBKE deficiency ,IKBKE,AD ,NA ,Microglia ,Impaired induction of IFN-β1 (IFNB1) upon HSV-2 infection or dsDNA stimulation. Failure to induce phosphorylation of STING ,Recurrent HSV-2 meningitis ,,,
CARD9 deficiency ,CARD9,AR ,607212 ,Mononuclear phagocytes ,CARD9 signaling pathway ,"Invasive candidiasis infection, deep dermatophytoses, other invasive fungal infections ",,,
IL-17RA deficiency ,IL17RA,AR ,605461 ,"Epithelial cells, fibroblasts, mononuclear phagocytes ","IL-17RA signaling pathway, and fibroblasts fail to respond to IL-17A and IL-17F, and their T cells to IL-17E ","CMC, folliculitis ",,,
IL-17RC deficiency ,IL17RC,AR ,610925 ,"IL-17RC signaling pathway, fibroblasts fail to respond to IL-17A and IL-17F ",CMC ,,,,
IL-17F deficiency ,IL17F,AD ,606496 ,T cells ,IL-17F–containing dimers ,CMC ,,,
STAT1 GOF ,STAT1,AD GOF ,600555 ,"T cells, B cells, NK, monocytes ",Increased STAT1 phosphorylation,"CMC, various fungal, bacterial, and viral (HSV) infections, autoimmunity (thyroiditis, diabetes, cytopenias), enteropathy ",,,
ACT1 deficiency ,TRAF3IP2,AR ,607043 ,"T cells, fibroblasts ","Fibroblasts fail to respond to IL-17A and IL-17F, and their T cells to IL-17E ","CMC, blepharitis, folliculitis, and macroglossia ",,,
JNK1 haploinsufficiency ,MAPK8,AD ,NA ,"T cells, fibroblasts ","↓ Th17 cells ex vivo, in vitro, ↓ responses of fibroblasts to IL-17A, IL-17F, ↓ c-Jun/ATF-2-dependent TGF-β signaling ","CMC, connective tissue disorder (similar to Ehlers–Danlos syndrome) ",,,
IRAK4 deficiency ,IRAK4,AR ,606883 ,Lymphocytes + granulocytes + monocytes ,TIR-IRAK4 signaling pathway ,"Pyogenic bacterial diseases, severe viral diseases ",,,
MyD88 deficiency ,MYD88,AR ,602170 ,Lymphocytes + granulocytes + monocytes ,TIR-MyD88 signaling pathway ,,,,
Systemic autoinflammation splenomegaly and anemia (NASA) ,IRAK4,AR ,607676 ,Lymphocytes ,Loss of negative regulation of IRAK-4 and IRAK-1; dysregulation of myddosome assembly and disassembly; or kinase active site instability may drive dysregulated IL-6 and TNF production ,"Recurrent episodes of fever, massive splenomegaly, elevated inflammatory markers, and severe hypochromic microcytic anemia ",,,
IRAK1 deficiency ,IRAK1,XL ,300283 ,Lymphocytes + granulocytes + monocytes ,"TLR-IRAK1 signaling pathway in fibroblasts, TLR7- and TLR8-IRAK1 signaling pathway in EBV-B cells ","Bacterial infections, X-linked MECP2 deficiency–related syndrome due to a large de novo Xq28 chromosomal deletion encompassing both MECP2 and IRAK1 ",,,
TIRAP deficiency ,TIRAP,AR ,614382 ,Lymphocytes + granulocytes + monocytes ,"TIRAP signaling pathway, TLR1/2, TLR2/6, and TLR4 agonists were impaired in the fibroblasts and leukocytes ",Staphylococcal disease during childhood in the patient lacking lipoteichoic acid Abs ,,,
TLR7 deficiency ,TLR7,XL ,301051 ,"Lymphocytes, myeloid cells ",Impaired responses to TLR7 ligands; reduced production of type 1 IFN ,Severe COVID-19 infection ,,,
TLR8 GOF ,TLR8,XL/somatic mutations ,301078 ,Myeloid cells ,Elevated proinflammatory serum cytokines; increased proinflammatory responses of patient myeloid cells to TLR8 agonists; reduced ability of mutant TLR8 to attenuate TLR7 signaling ,"Early-onset, severe cytopenias, hepatosplenomegaly, lymphadenopathy; progressive autoinflammatory disease ",,,
MD2 deficiency ,LY96,AR ,NA ,Myeloid cells ,Decreased endocytosis of TLR4 leads to impaired NF-κB signaling and decreased cytokine production ,"Very early-onset inflammatory bowel disease and recurrent infections, pneumonia, and otitis media ",,,
TLR4 deficiency ,TLR4,AR ,NA ,,Impaired TLR4 signaling ,Inflammatory bowel disease ,,,
Isolated congenital asplenia (ICA) ,RPSA,AD ,271400 ,No spleen ,"RPSA encodes ribosomal protein SA, a component of the small subunit of the ribosome ",Bacteremia (encapsulated bacteria) ,,,
,HMOX,AR ,141250 ,Macrophages ,"HO-1 regulates iron recycling, and heme-dependent damage occurs ","Hemolysis, nephritis, inflammation ",,,
Trypanosomiasis ,APOL1,AD ,603743 ,Somatic ,Pore-forming serum protein ,Trypanosomiasis ,,,
Acute liver failure due to NBAS deficiency ,NBAS,AR ,608025 ,Somatic and hematopoietic ,ER stress ,Fever induces liver failure ,,,
Acute necrotizing encephalopathy ,RANBP2,AD ,601181 ,Ubiquitous expression ,Nuclear pore ,Fever induces acute encephalopathy ,,,
Osteopetrosis ,CLCN7,AR/AD ,602727 ,Osteoclasts ,Secretory lysosomes ,"Osteopetrosis with hypocalcemia, neurological features ",,,
,SNX10,AR ,614780 ,Osteopetrosis with visual impairment ,,,,,
,OSTM1,AR ,607649 ,"Osteopetrosis with hypocalcemia, neurological features ",,,,,
,PLEKHM1,AR ,611466 ,Osteopetrosis ,,,,,
,TCIRG1,AR ,604592 ,Osteopetrosis with hypocalcemia ,,,,,
,TNFRSF11A,AR ,603499 ,Osteoclastogenesis ,Osteopetrosis ,,,,
,TNFSF11,AR ,602642 ,Stromal ,Osteoclastogenesis ,Osteopetrosis with severe growth retardation ,,,
Hidradenitis suppurativa ,NCSTN,AD ,605254 ,Epidermis ,Notch signaling/gamma-secretase in hair follicle regulates keratinization ,Verneuil’s disease/hidradenitis suppurativa with acne ,,,
